LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'ADK,"ANCHORAGE, AK 99519","ADAK, AK 99546",99519,99546,51-53-00.8954N,186780.8954N,176-38-32.9277W,635912.9277W
'AKK,"JUNEAU, AK 99811-6900","KODIAK, AK 99615",99811-6900,99615,56-56-19.2870N,204979.2870N,154-10-57.2000W,555057.2000W
'Z13,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-54-49.7150N,219289.7150N,161-29-35.9850W,581375.9850W
'AKI,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-54-10.4300N,219250.4300N,161-13-50.1000W,580430.1000W
'KQA,"AKUTAN, AK 99553","AKUTAN, AK 99553",99553,99553,54-08-02.0400N,194882.0400N,165-46-42.1800W,596802.1800W
'7AK,"JUNEAU, AK 99811-2506","DUTCH HARBOR, AK 99692",99811-2506,99692,54-08-40.6000N,194920.6000N,165-36-14.7900W,596174.7900W
'AUK,"FAIRBANKS, AK 99709","UNALAKLEET, AK 99684",99709,99684,62-40-59.0000N,225659.0000N,164-43-19.9000W,592999.9000W
'Z33,"ALEKNAGIK, AK 99555","ALEKNAGIK, AK 99555",99555,99555,59-16-26.3210N,213386.3210N,158-37-24.9210W,571044.9210W
'5A8,"ANCHORAGE, AK 99519-6900","DILLINGHAM, AK 99576",99519-6900,99576,59-16-57.2000N,213417.2000N,158-37-04.3200W,571024.3200W
'4AK7,"ANCHORAGE, AK 99502","ANCHORAGE, AK 99502",99502,99502,59-16-51.3240N,213411.3240N,158-35-49.9210W,570949.9210W
'6A8,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-33-06.6000N,239586.6000N,152-37-19.8000W,549439.8000W
'AFM,"FAIRBANKS, AK 99709","KOTZEBUE, AK 99752",99709,99752,67-06-22.3282N,241582.3282N,157-51-25.8151W,568285.8151W
'80A,"FAIRBANKS, AK 99709",,99709,#VALUE!,65-06-14.3350N,234374.3350N,151-10-38.0400W,544238.0400W
'AK81,"KODIAK, AK 99615","KODIAK, AK 99615",99615,99615,57-28-17.3770N,206897.3770N,153-48-55.2980W,553735.2980W
'AKP,"BARROW, AK 99723","BARROW, AK 99723",99723,99723,68-08-01.0000N,245281.0000N,151-44-36.0000W,546276.0000W
'AK00,"ANCHOR POINT, AK 99556","ANCHOR POINT, AK 99556",99556,99556,59-47-48.0000N,215268.0000N,151-51-48.0000W,546708.0000W
'00AK,"ANCHOR POINT, AK 99556","ANCHOR POINT, AK 99556",99556,99556,59-56-56.0000N,215816.0000N,151-41-32.0000W,546092.0000W
'2OK,"ANCHORAGE, AK 99501-4129","ANCHORAGE, AK 99501-4129",99501-4129,99501-4129,61-12-45.7300N,220365.7300N,149-49-35.7000W,539375.7000W
'99AA,"ANCHORAGE, AK 99501","ANCHORAGE, AK 99501",99501,99501,61-13-08.0600N,220388.0600N,149-53-11.3300W,539591.3300W
'A13,"ANCHORAGE, AK 99516","ANCHORAGE, AK 99516",99516,99516,61-20-28.8200N,220828.8200N,148-59-55.9700W,536395.9700W
'CSR,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-09-31.3200N,220171.3200N,149-46-50.2000W,539210.2000W
'AK82,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-09-22.0700N,220162.0700N,149-47-32.2800W,539252.2800W
'3C3,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-07-59.0200N,220079.0200N,149-56-30.8400W,539790.8400W
'EDF,"ELMENDORF AFB, AK 99506","ELMENDORF AFB, AK 99506",99506,99506,61-15-04.8715N,220504.8715N,149-48-23.4924W,539303.4924W
'AK91,"ELMENDORF AFB, AK 99506","ELMENDORF AFB, AK 99506",99506,99506,61-14-07.3800N,220447.3800N,149-44-57.3900W,539097.3900W
'6AK5,"ANCHORAGE, AK 99506","ANCHORAGE, AK 99501",99506,99501,61-10-06.0140N,220206.0140N,150-09-37.9930W,540577.9930W
'AK12,"ANCHORAGE, AK 99515","ANCHORGE, AK 99515",99515,99515,61-06-23.7600N,219983.7600N,149-51-51.3700W,539511.3700W
'LHD,"ANCHORAGE, AK 99519-6960","ANCHORAGE, AK 99519-6960",99519-6960,99519-6960,61-10-53.9000N,220253.9000N,149-57-59.4000W,539879.4000W
'MRI,"ANCHORAGE, AK 99501-4129","ANCHORAGE, AK 99501-4129",99501-4129,99501-4129,61-12-48.7622N,220368.7622N,149-50-41.0069W,539441.0069W
'PA06,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99510",99507,99510,61-07-46.9000N,220066.9000N,149-47-45.3000W,539265.3000W
'AK38,"ANCHORAGE, AK 99508","ANCHORAGE, AK 99508",99508,99508,61-11-20.5100N,220280.5100N,149-49-18.5900W,539358.5900W
'AA06,"ELMENDORF  AFB, AK 99506","ELMENDORF  AFB, AK 99506",99506,99506,61-17-23.0000N,220643.0000N,149-48-22.0000W,539302.0000W
'9AK5,"ANCHORAGE, AK 99516","ANCHORAGE, AK 99516",99516,99516,61-06-59.3300N,220019.3300N,149-49-07.5700W,539347.5700W
'ANC,"ANCHORAGE, AK 99519-6960","ANCHORAGE, AK 99519-6960",99519-6960,99519-6960,61-10-26.9634N,220226.9634N,149-59-53.4791W,539993.4791W
'AA04,"ANCHORAGE, AK 99501","ANCHORAGE, AK 99501",99501,99501,61-13-29.1900N,220409.1900N,149-50-20.7400W,539420.7400W
'AGN,"JUNEAU, AK 99801-7999","JUNEAU, AK 99811",99801-7999,99811,57-30-12.7990N,207012.7990N,134-35-06.3380W,484506.3380W
'ANI,"ANCHORAGE, AK 99519-6900","ANIAK, AK 99577",99519-6900,99577,61-34-53.7000N,221693.7000N,159-32-35.0000W,574355.0000W
'ANN,"METLAKATLA, AK 99926","METLAKATLA, AK 99926",99926,99926,55-02-32.2569N,198152.2569N,131-34-15.2377W,473655.2377W
'Z43,"METLAKATLA, AK 99926","METLAKATLA, AK 99926",99926,99926,55-04-04.7720N,198244.7720N,131-33-25.0370W,473605.0370W
'ANV,"FAIRBANKS, AK 99709","ST MARY'S, AK 99658",99709,99658,62-38-50.4000N,225530.4000N,160-11-24.2000W,576684.2000W
'ARC,"VENETIE, AK 97781","ARCTIC VILLAGE, AK 99722",97781,99722,68-06-52.8100N,245212.8100N,145-34-45.8950W,524085.8950W
'AKA,"JUNEAU, AK 99811-2506","UNALASKA, AK 99692-0525",99811-2506,99692-0525,52-13-14.1000N,187994.1000N,174-12-22.3000W,627142.3000W
'4A2,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-52-04.4000N,219124.4000N,162-16-27.4000W,584187.4000W
'ATK,"BARROW, AK 99723","BARROW, AK 99723",99723,99723,70-28-01.6000N,253681.6000N,157-26-08.4000W,566768.4000W
'ATU,"JUNEAU, AK 99802","ATTU, AK 99619-5000",99802,99619-5000,52-49-57.1500N,190197.1500N,173-10-31.9950E,623431.9950E
'BNF,"SITKA, AK 99835",SITKA 99835,99835,#VALUE!,57-05-19.7730N,205519.7730N,134-49-59.3090W,485399.3090W
'BRW,"FAIRBANKS, AK 99701","BARROW, AK 99723",99701,99723,71-17-05.5000N,256625.5000N,156-46-06.9000W,564366.9000W
'BTI,"BARROW, AK 99723","BARROW, AK 99723",99723,99723,70-06-47.2110N,252407.2110N,143-39-12.9710W,517152.9710W
'BQV,"JUNEAU, AK 99801","SKAGWAY, AK 99825",99801,99825,58-27-18.7480N,210438.7480N,135-53-06.6120W,489186.6120W
'Z47,"NOME, AK 99762","NOME, AK 99762",99762,99762,64-40-44.7250N,232844.7250N,165-17-57.1250W,595077.1250W
'Z52,"KENAI, AK 99611","KENAI, AK 99611",99611,99611,56-02-12.0680N,201732.0680N,160-15-58.3390W,576958.3390W
'WBQ,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-21-44.0000N,238904.0000N,147-24-23.4000W,530663.4000W
'KBE,"BELL ISLAND, AK 99901","BELL ISLAND, AK 99901",99901,99901,55-55-44.6810N,201344.6810N,131-34-18.0860W,473658.0860W
'BLG,"ANCHORAGE, AK 99503","ANCHORAGE, AK 99503",99503,99503,61-10-22.6628N,220222.6628N,151-02-43.4987W,543763.4987W
'BET,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-46-42.8000N,218802.8000N,161-50-13.8000W,582613.8000W
'BTT,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-54-50.2000N,240890.2000N,151-31-44.6000W,545504.6000W
'2A4,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-53-14.8000N,240794.8000N,151-29-38.9000W,545378.9000W
'D71,"ANCHORAGE, AK 99501-3577","WASILLA, AK 99623",99501-3577,99623,61-34-30.5000N,221670.5000N,149-50-51.6000W,539451.6000W
'BGQ,"ANCHORAGE, AK 99519-6900","PALMER, AK 99645",99519-6900,99645,61-32-04.8600N,221524.8600N,149-48-45.1600W,539325.1600W
'6A7,"ANCHORAGE, AK 99501","WASILLA, AK 99687",99501,99687,61-28-54.6200N,221334.6200N,149-46-23.6800W,539183.6800W
'95AK,"ANCHORAGE, AK 99516","ANCHORAGE, AK 99516",99516,99516,61-28-21.4300N,221301.4300N,149-58-56.8900W,539936.8900W
'68AK,"FAIRBANKS, AK 99701","FAIRBANKS, AK 99701",99701,99701,61-30-59.6900N,221459.6900N,149-55-51.8900W,539751.8900W
'9AK7,"BIG LAKE, AK 99652","BIG LAKE, AK 99552",99652,99552,61-35-23.3900N,221723.3900N,149-48-59.9800W,539339.9800W
'AA10,"WASILLA, AK 99654","WASILLA, AK 99654",99654,99654,61-31-52.0700N,221512.0700N,149-42-03.3800W,538923.3800W
'08AK,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-34-10.7000N,221650.7000N,149-43-27.9800W,539007.9800W
'02AA,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-30-24.0000N,221424.0000N,149-54-43.0000W,539683.0000W
'AK48,"BIG LAKE, AK 99652",,99652,#VALUE!,61-31-40.8000N,221500.8000N,150-00-52.8000W,540052.8000W
'86AK,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-33-05.1500N,221585.1500N,149-56-44.7000W,539804.7000W
'AA02,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-34-17.3300N,221657.3300N,149-55-26.8000W,539726.8000W
'L95,"ANCHORAGE, AK 99652-3577","BIG LAKE, AK 99652",99652-3577,99652,61-33-17.1800N,221597.1800N,149-56-21.6100W,539781.6100W
'AK86,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-34-24.7400N,221664.7400N,149-54-40.8600W,539680.8600W
'91AK,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-34-35.0000N,221675.0000N,149-56-36.0000W,539796.0000W
'63AK,"BIG LAKE, AK 99652","BIG LAKE, AK 99652",99652,99652,61-35-03.5900N,221703.5900N,149-56-17.1600W,539777.1600W
'85AK,"BIG LAKE, AK 99602","BIG LAKE, AK 99602",99602,99602,61-30-33.0000N,221433.0000N,149-54-31.0000W,539671.0000W
'20AK,"BIG LAKE, AK 99602","BIG LAKE, AK 99602",99602,99602,61-30-13.6400N,221413.6400N,149-53-45.7600W,539625.7600W
'AA07,"FAIRBANKS, AK 99701","FAIRBANKS, AK 99701",99701,99701,61-31-17.6700N,221477.6700N,149-55-37.7000W,539737.7000W
'AK87,"ANCHORAGE, AK 99508","ANCHORAGE, AK 99508",99508,99508,61-30-53.5000N,221453.5000N,149-55-44.4400W,539744.4400W
'AK95,"ANCHORAGE, AK 99519","ANCHORAGE, AK 99519",99519,99519,61-34-13.3200N,221653.3200N,149-46-44.5400W,539204.5400W
'09AK,"BIG LAKE, AK 99762","WASILLA, AK 99654",99762,99654,61-35-21.7000N,221721.7000N,149-50-50.4000W,539450.4000W
'AA01,"WASILLA, AK 99654","WASILLA, AK 99654",99654,99654,61-35-05.8600N,221705.8600N,149-50-47.5100W,539447.5100W
'37AK,"ELMENDORF AFB, AK 99506","ELMENDORF AFB, AK 99506",99506,99506,59-21-40.4880N,213700.4880N,155-15-31.7570W,558931.7570W
'Z91,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-16-28.1000N,238588.1000N,145-49-05.5000W,524945.5000W
'BCV,"ANCHORAGE, AK 99519-6900","ANCHORAGE, AK 99507-1249",99519-6900,99507-1249,61-24-57.5900N,221097.5900N,149-30-32.1300W,538232.1300W
'5BK,"GLENALLEN, AK 99588","GLENALLEN, AK 99588",99588,99588,63-32-06.5270N,228726.5270N,145-51-39.1900W,525099.1900W
'AK97,"ELMENDORF AFB, AK 99506",,99506,#VALUE!,60-25-23.0310N,217523.0310N,146-08-45.2740W,526125.2740W
'BYA,"FAIRBANKS, AK 99709","TOK, AK 99780",99709,99780,64-04-41.8900N,230681.8900N,141-06-48.1500W,508008.1500W
'KTS,"FAIRBANKS, AK 99701","NOME, AK 99762",99701,99762,65-19-52.8000N,235192.8000N,166-27-56.6000W,599276.6000W
'BVK,"FAIRBANKS, AK 99701","KOTZEBUE, AK 99752",99701,99752,65-58-53.6000N,237533.6000N,161-08-56.9000W,580136.9000W
'AK75,"SALT LAKE CITY, UT 84101","SALT LAKE CITY, UT 84101",84101,84101,65-54-27.5690N,237267.5690N,161-55-34.7010W,582934.7010W
'TTW,"ANCHORAGE, AK 99515","CANTWELL, AK 99729",99515,99729,63-23-28.3370N,228208.3370N,148-57-20.2190W,536240.2190W
'15AK,"CANTWELL, AK 99729","CANTWELL, AK 99729",99729,99729,63-22-14.3400N,228134.3400N,148-51-01.2100W,535861.2100W
'CDE,"SITKA, AK 99835","SITKA, AK 99835",99835,99835,56-00-07.6070N,201607.6070N,134-08-07.2210W,482887.2210W
'LUR,"ANCHORAGE, AK 99506-2270","ELEMENDORF AFB, AK 99506-2270",99506-2270,99506-2270,68-52-30.4600N,247950.4600N,166-06-39.8950W,597999.8950W
'EHM,"ANCHORAGE, AK 99506-2270","ELMENDORF AFB, AK 99506-2270",99506-2270,99506-2270,58-38-53.3400N,211133.3400N,162-03-49.6900W,583429.6900W
'CZF,"ELMENDORF AFB, AK 99506-2270","ELMENDORF AFB, AK 99506-2270",99506-2270,99506-2270,61-46-51.6550N,222411.6550N,166-02-22.4750W,597742.4750W
'26AK,"ANCHORAGE, AK 99503","COLD BAY, AK 99571",99503,99571,54-34-56.7520N,196496.7520N,164-54-52.1310W,593692.1310W
'CSP,"JUNEAU, AK 99801","CAPE SPENCER LGT STN, AK",99801,#VALUE!,58-11-56.6470N,209516.6470N,136-38-19.7180W,491899.7180W
'CEM,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,65-34-26.2000N,236066.2000N,144-46-51.2000W,521211.2000W
'CIK,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-38-42.1000N,239922.1000N,143-44-23.6000W,517463.6000W
'5CD,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,68-03-55.5820N,245035.5820N,149-34-47.0610W,538487.0610W
'WCR,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,67-30-16.2600N,243016.2600N,148-28-59.6000W,534539.6000W
'CYM,"JUNEAU, AK 99801","JUNEAU, AK 99801",99801,99801,57-30-53.7780N,207053.7780N,134-56-46.3740W,485806.3740W
'CFK,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-08-12.5000N,216492.5000N,164-16-44.6000W,591404.6000W
'AK13,"FAIRBANKS, AK 99711","FAIRBANKS, AK 99711",99711,99711,65-03-06.5720N,234186.5720N,146-02-50.7550W,525770.7550W
'C05,"ANCHORAGE, AK 99519-6900","SOLDOTNA, AK 99669",99519-6900,99669,60-04-42.8200N,216282.8200N,147-59-41.0450W,532781.0450W
'VAK,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,61-32-27.0400N,221547.0400N,165-36-03.2100W,596163.2100W
'48AK,"CHICKALOON, AK 99674","CHICKALOON, AK 99674",99674,99674,61-47-35.1200N,222455.1200N,148-29-32.9860W,534572.9860W
'CKX,"FAIRBANKS, AK 99709","TOK, AK 99780",99709,99780,64-04-00.3050N,230640.3050N,141-57-04.8500W,511024.8500W
'AJC,"ANCHORAGE, AK 99519-6900","KING SALMON, AK 99613",99519-6900,99613,56-18-41.2655N,202721.2655N,158-22-23.6575W,570143.6575W
'KCL,"JUNEAU, AK 99811-2506","KING SALMON, AK 99613",99811-2506,99613,56-18-39.4800N,202719.4800N,158-32-04.1500W,570724.1500W
'A79,"ANCHORAGE, AK 99519-6900","KING SALMON, AK 99613",99519-6900,99613,56-15-19.6450N,202519.6450N,158-46-40.1950W,571600.1950W
'CZN,"FAIRBANKS, AK 99709","GLENNALLEN, AK 99588",99709,99588,62-04-18.3000N,223458.3000N,142-02-57.6600W,511377.6600W
'CZO,"FAIRBANKS, AK 99709-6900","GLENALLEN, AK 99588",99709-6900,99588,62-33-44.4000N,225224.4000N,144-40-20.8000W,520820.8000W
'CXC,"FAIRBANKS, AK 99709","GLENALLEN, AK 99588",99709,99588,61-34-59.5300N,221699.5300N,144-25-47.2900W,519947.2900W
'9A3,"ANCHORAGE, AK 99519-6900","ANIAK, AK 99557",99519-6900,99557,61-34-44.6000N,221684.6000N,159-12-56.3000W,573176.3000W
'AK24,"ANCHORAGE, AK 99509","CHUGIAK, AK 99567",99509,99567,61-25-04.3000N,221104.3000N,149-26-22.1600W,537982.1600W
'CRC,"FAIRBANKS, AK 99709-6394","FAIRBANKS, AK 99709-6394",99709-6394,99709-6394,65-49-40.5000N,236980.5000N,144-04-34.3100W,518674.3100W
'CHP,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,65-29-09.2650N,235749.2650N,144-36-42.0650W,520602.0650W
'96AK,"ANCHORAGE, AK 99524","CLAM GULCH, AK 99568",99524,99568,60-17-16.0200N,217036.0200N,151-20-46.0400W,544846.0400W
'CLP,"ANCHORAGE, AK 99519-6900","DILLINGHAM, AK 99576",99519-6900,99576,58-50-01.3000N,211801.3000N,158-31-45.8000W,570705.8000W
'Z84,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709-5316",99709,99709-5316,64-18-01.4000N,231481.4000N,149-06-59.5000W,536819.5000W
'CLF,"CLEAR, AK 99504-3084","CLEAR, AK 99504-3084",99504-3084,99504-3084,64-15-25.3230N,231325.3230N,149-11-10.5010W,537070.5010W
'KCC,"JUNEAU, AK 99811-2506","KLAWOCK, AK 99925-0549",99811-2506,99925-0549,56-00-53.2940N,201653.2940N,132-50-02.1210W,478202.1210W
'CDB,"JUNEAU, AK 99811-2506","COLD BAY, AK 99571",99811-2506,99571,55-12-21.2886N,198741.2886N,162-43-34.5069W,585814.5069W
'1AK3,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,56-00-21.5490N,201621.5490N,160-33-38.8510W,578018.8510W
'CXF,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,67-15-07.8000N,242107.8000N,150-12-14.0000W,540734.0000W
'KCR,"MIAMI, FL 33156-6208",,33156-6208,#VALUE!,63-34-03.8030N,228843.8030N,155-59-20.5570W,561560.5570W
'JLA,"ANCHORAGE, AK 99519-6900","SOLDOTNA, AK 99669",99519-6900,99669,60-29-03.3500N,217743.3500N,149-43-22.4400W,539002.4400W
'Z93,"FAIRBANKS, AK 99709","GLENALLEN, AK 99588",99709,99588,61-56-28.2840N,222988.2840N,145-17-38.6910W,523058.6910W
'CKU,"FAIRBANKS, AK 99709-5399","CORDOVA, AK 99574",99709-5399,99574,60-32-37.1200N,217957.1200N,145-43-33.0750W,524613.0750W
'CDV,"FAIRBANKS, AK 99709","CORDOVA, AK 99574",99709,99574,60-29-30.4000N,217770.4000N,145-28-39.2000W,523719.2000W
'AK30,"CORDOVA, AK 99574","CORDOVA, AK 99574",99574,99574,60-23-28.1500N,217408.1500N,146-05-50.8700W,525950.8700W
'K29,"FAIRBANKS, AK 99701","NOME, AK 99762",99701,99762,64-53-48.2900N,233628.2900N,163-42-12.5950W,589332.5950W
'CGA,"CRAIG, AK 99221-0091","CRAIG, AK 99221-0091",99221-0091,99221-0091,55-28-43.7930N,199723.7930N,133-08-52.0840W,479332.0840W
'1AK0,"JUNEAU, AK 99801",,99801,#VALUE!,55-28-30.7930N,199710.7930N,133-08-45.0830W,479325.0830W
'5C5,"CRAIG, AK 99921","CRAIG, AK 99921",99921,99921,55-57-30.9200N,201450.9200N,133-15-12.1400W,479712.1400W
'1AK1,"BETTLES, AK 99126","BETTLES, AK 99126",99126,99126,67-22-22.3400N,242542.3400N,152-00-57.8800W,547257.8800W
'CJX,"ANCHORAGE, AK 99519-6900","ANIAK, AK 99557",99519-6900,99557,61-52-04.4000N,222724.4000N,158-08-05.8000W,569285.8000W
'01AA,"ANCHORAGE, AK 99503","ANCHORAGE, AK 99503",99503,99503,62-01-56.9150N,223316.9150N,158-14-11.0550W,569651.0550W
'1AK2,"GLENNALLEN, AK 99588","GLENNALLEN, AK 99588",99588,99588,62-24-03.3910N,224643.3910N,146-00-47.8970W,525647.8970W
'DCK,"FAIRBANKS, AK 99709","KOTZEBUE, AK 99752",99709,99752,66-56-33.2211N,240993.2211N,156-53-28.9271W,564808.9271W
'AK15,"ANCHORAGE, AK 99501-0360","ANCHORAGE, AK 99501",99501-0360,99501,70-20-39.4000N,253239.4000N,150-56-41.1000W,543401.1000W
'AK78,"ANCHORAGE, AK 99511-2212","ANCHORAGE, AK 99501",99511-2212,99501,70-08-14.8800N,252494.8800N,147-01-49.5800W,529309.5800W
'AA03,"ANCHORAGE, AK 99518-3000","ANCHORAGE, AK 99518-3000",99518-3000,99518-3000,70-10-16.6246N,252616.6246N,146-15-30.8507W,526530.8507W
'SCC,"FAIRBANKS, AK 99709","PRUDHOE BAY, AK 99734",99709,99734,70-11-41.1148N,252701.1148N,148-27-54.5935W,534474.5935W
'4AK1,"ANCHORAGE, AK 99513","FAIRBANKS, AK 99709",99513,99709,70-00-13.7905N,252013.7905N,153-04-39.2455W,551079.2455W
'37AA,"ANCHORAGE, AK 99503","ANCHORAGE, AK 99503",99503,99503,70-08-09.6000N,252489.6000N,146-17-24.1000W,526644.1000W
'DEE,"FAIRBANKS, AK 99709","KOTZEBUE, AK 99752",99709,99752,66-04-08.8000N,237848.8000N,162-46-01.4000W,585961.4000W
'AK77,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,63-56-29.1400N,230189.1400N,145-25-20.0100W,523520.0100W
'9AK4,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-08-14.5000N,230894.5000N,145-49-49.4000W,524989.4000W
'AK35,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-02-19.9050N,230539.9050N,145-44-20.2100W,524660.2100W
'45AK,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,63-57-42.5840N,230262.5840N,145-28-12.3310W,523692.3310W
'AA22,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-07-58.2900N,230878.2900N,145-48-16.1800W,524896.1800W
'D66,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-03-00.4200N,230580.4200N,145-43-20.8750W,524600.8750W
'76AK,"FAIRBANKS, AK 99701","DELTA JUNCTION, AK 99737",99701,99737,64-28-02.8700N,232082.8700N,144-55-15.2100W,521715.2100W
'29AK,"OLYMPIA, WA 98501","OLYMPIA, WA 98501",98501,98501,64-02-58.5940N,230578.5940N,145-25-08.3700W,523508.3700W
'11AK,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,63-59-58.5810N,230398.5810N,145-30-08.3440W,523808.3440W
'72AK,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-01-37.5920N,230497.5920N,145-40-48.6280W,524448.6280W
'AK09,"DELTA JUNCTION, AK 99737","DELTA JUNCTION, AK 99737",99737,99737,64-02-58.5840N,230578.5840N,145-30-08.3670W,523808.3670W
'DLG,"ANCHORAGE, AK 99519-6900","DILLINGHAM, AK 99576",99519-6900,99576,59-02-40.8000N,212560.8000N,158-30-19.8000W,570619.8000W
'AK21,"CHUGIAK, AK 99567","CHUGIAK, AK 99567",99567,99567,59-07-57.3000N,212877.3000N,157-46-37.8500W,567997.8500W
'0Z3,"ANCHORAGE, AK 99501","DILLINGHAM, AK 99576",99501,99576,59-03-32.3120N,212612.3120N,158-34-37.8840W,570877.8840W
'DM2,"FAIRBANKS, AK 99709","NOME, AK 99762",99709,99762,65-45-31.0000N,236731.0000N,168-57-11.0000W,608231.0000W
'AK23,"ELMENDORF AFB, AK 99506","ELMENDORF AFB, AK 99506",99506,99506,53-58-16.0000N,194296.0000N,166-52-38.0000W,600758.0000W
'EAA,"FAIRBANKS, AK 99709","TOK, AK 99780",99709,99780,64-46-41.1000N,233201.1000N,141-08-58.6000W,508138.6000W
'D72,"EAGLE RIVER, AK 99577","EAGLE RIVER, AK 99577",99577,99577,61-21-09.0700N,220869.0700N,149-32-46.8600W,538366.8600W
'47AK,"ANCHORAGE, AK 99515","ANCHORAGE, AK 99515",99515,99515,61-17-33.0000N,220653.0000N,149-31-57.0000W,538317.0000W
'EEK,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-12-49.3000N,216769.3000N,162-02-38.0000W,583358.0000W
'EII,"EGEGIK, AK 99579","EGEGIK, AK 99579",99579,99579,58-11-07.7650N,209467.7650N,157-22-31.5400W,566551.5400W
'KKU,"DILLINGHAM, AK 99576",,99576,#VALUE!,58-48-40.2930N,211720.2930N,158-33-31.8330W,570811.8330W
'KEK,"ANCHORAGE, AK 99519-6900","DILLINGHAM, AK 99576",99519-6900,99576,59-21-24.6000N,213684.6000N,157-28-16.1000W,566896.1000W
'ERO,"JUNEAU, AK 99801","ELDRED ROCK LGT STN, AK",99801,#VALUE!,58-58-15.8110N,212295.8110N,135-14-14.5760W,486854.5760W
'ELV,"JUNEAU, AK 99801-7999","JUNEAU, AK 99811-2506",99801-7999,99811-2506,58-11-42.6630N,209502.6630N,136-20-50.6140W,490850.6140W
'ELI,"FAIRBANKS, AK 99701","UNALAKLEET, AK 99684",99701,99684,64-36-53.9000N,232613.9000N,162-16-13.9000W,584173.9000W
'MOS,"ELIM, AK 99739-0010","ELIM, AK 99739-0010",99739-0010,99739-0010,64-41-53.4550N,232913.4550N,162-03-26.2770W,583406.2770W
'ENM,"FAIRBANKS, AK 99709","UNALAKLEET, AK 99684",99709,99684,62-47-10.1000N,226030.1000N,164-29-26.7000W,592166.7000W
'2Z1,"JUNEAU, AK 99801-7999","JUNEAU, AK 99811-2506",99801-7999,99811-2506,57-24-43.7420N,206683.7420N,133-26-22.1960W,480382.1960W
'3AK1,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-56-16.7400N,222976.7400N,147-10-12.2900W,529812.2900W
'2Z3,"FAIRBANKS, AK 99709-4699",,99709-4699,#VALUE!,64-02-31.6000N,230551.6000N,148-51-47.3000W,535907.3000W
'EXI,"JUNEAU, AK 99801-7999","JUNEAU, AK 99811-2506",99801-7999,99811-2506,58-25-13.7950N,210313.7950N,135-26-56.5180W,487616.5180W
'AK28,"FAIRBANKS, AK 99708","FAIRBANKS, AK 99708",99708,99708,64-48-50.5000N,233330.5000N,147-55-06.8000W,532506.8000W
